DATE,SO2,NO2,PM10,PM2.5,O3,Pb,CO,AQI,AQI REMARKS,FIELD OBSERVATIONS,STATION ID,STATION NAME
06-04-2018,9.1,13,78.5,25.3,0.7,<0.5,0.97,79,SATISFACTORY, Industrial emission  observed,2,Amona
11-04-2018,8.9,12.2,77.9,25.1,0.5,<0.5,<0.01,78,SATISFACTORY, Industrial emission  observed,2,Amona
13-04-2018,7.6,11.9,69.6,22.7,0.8,<0.5,0.78,70,SATISFACTORY, Industrial emission  observed,2,Amona
18-04-2018,9,12.7,71.4,23,0.5,<0.5,0.77,71,SATISFACTORY, Industrial emission  observed,2,Amona
20-04-2018,8.5,11.4,61.1,19.9,0.6,<0.5,0.91,61,SATISFACTORY, Industrial emission  observed,2,Amona
25-04-2018,8.1,13.2,71.5,23.3,0.5,<0.5,<0.01,72,SATISFACTORY, Industrial emission  observed,2,Amona
27-04-2018,7.3,10.8,64.7,21.2,0.6,<0.5,<0.01,65,SATISFACTORY, Industrial emission  observed,2,Amona
03-05-2018,8.1,12.8,47.4,15.6,0.7,<0.5,<0.01,47,GOOD, Industrial emission  observed,2,Amona
05-05-2018,8.6,14.4,70.8,23.6,<0.5,<0.5,0.65,71,SATISFACTORY, Industrial emission  observed,2,Amona
09-05-2018,8.8,11.5,48,15.7,0.7,<0.5,0.52,48,SATISFACTORY, Industrial emission  observed,2,Amona
11-05-2018,10.2,14.3,67.5,22,<0.5,<0.5,<0.01,68,SATISFACTORY, Industrial emission  observed,2,Amona
16-05-2018,5.9,13.8,65.1,20.9,0.7,<0.5,0.78,65,SATISFACTORY, Industrial emission  observed,2,Amona
18-05-2018,7.8,11.2,67.9,21.9,0.6,<0.5,<0.01,68,SATISFACTORY, Industrial emission  observed,2,Amona
23-05-2018,9.8,13.2,84.1,27.1,0.8,<0.5,0.88,85,SATISFACTORY, Industrial emission  observed,2,Amona
25-05-2018,8.3,12.7,64.4,20.3,<0.5,<0.5,0.75,64,SATISFACTORY, Industrial emission  observed,2,Amona
30-05-2018,8.5,13.2,74.3,23.8,0.7,<0.5,<0.01,74,SATISFACTORY,,2,Amona
06-06-2018,6.6,10.43,40.3,13.6,0.5,<0.5,0.44,40,GOOD,,2,Amona
08-06-2018,8.6,11.4,29.4,9.7,0.6,<0.5,0.35,29,GOOD,,2,Amona
13-06-2018,6.7,10.73,36.2,11.7,0.5,<0.5,0.01,36,GOOD,,2,Amona
15-06-2018,6,9.75,42.6,14,0.7,<0.5,0.51,43,GOOD,,2,Amona
20-06-2018,6.4,9.43,31.8,10.3,0.5,<0.5,0.01,32,GOOD,,2,Amona
22-06-2018,7.8,10.28,41.1,13.4,0.9,<0.5,0.41,41,GOOD,,2,Amona
26-06-2018,6.5,10.23,35.9,11.6,0.5,<0.5,0.31,36,GOOD,,2,Amona
28-06-2018,6.2,8.04,32.5,10.4,0.8,<0.5,0.01,33,GOOD,,2,Amona
04-07-2018,7.6,12.3,23.6,8.5,,<0.5,0.48,24,GOOD,,2,Amona
06-07-2018,6.7,12.9,28.05,9.1,0.3,<0.5,0.01,28,GOOD,,2,Amona
11-07-2018,5.6,10.1,25.7,8.4,0.5,<0.5,0.01,26,GOOD,,2,Amona
13-07-2018,6.8,11.1,18.6,6.1,,<0.5,0.01,19,GOOD,,2,Amona
18-07-2018,6,11.5,27.7,9,0.7,<0.5,0.5,28,GOOD,,2,Amona
20-07-2018,6.9,10.5,24.1,7.9,0.4,<0.5,0.45,24,GOOD,,2,Amona
25-07-2018,6.7,10,30.4,10,0.6,<0.5,0.48,30,GOOD,,2,Amona
27-07-2018,7.3,11.4,30.2,9.8,0.6,<0.5,0.52,30,GOOD,,2,Amona
03-08-2018,7.5,11.1,46.9,15,0.58,<0.5,0.63,40,GOOD,,2,Amona
08-08-2018,8.8,10.09,41.8,13.8,0.6,<0.5,0.58,29,GOOD,,2,Amona
10-08-2018,6.9,9.9,38.3,12.3,0.63,<0.5,<0.01,36,GOOD,,2,Amona
14-08-2018,6.4,10.5,36.3,11.6,0.23,<0.5,0.54,43,GOOD,,2,Amona
17-08-2018,7.6,10.3,33.5,10.9,0.16,<0.5,<0.01,32,GOOD,,2,Amona
22-08-2018,7.7,9.7,42.1,13.5,0.56,<0.5,0.65,41,GOOD,,2,Amona
24-08-2018,7.3,11,37.3,11.7,0.6,<0.5,0.31,36,GOOD,,2,Amona
29-08-2018,8.1,9.6,33.2,10.7,0.3,<0.5,0.38,38,GOOD,,2,Amona
31-08-2018,8.4,11.4,38.1,12.2,0.56,<0.5,0.56,33,GOOD,,2,Amona
22-10-2018,12.49,16.15,80.61,34.59,16.7,,0.06,98,SATISFACTORY,,2,Amona
26-10-2018,11.12,15.45,69.6,36,14.54,,0.05,102,MODERATE,,2,Amona
29-10-2018,11.77,16.57,83.97,35.25,17.26,,0.07,101,MODERATE,,2,Amona
01-11-2018,12.54,16.95,73.51,42.91,16.9,<0.5,<0.5,74,SATISFACTORY,,2,Amona
05-11-2018,11.79,16.57,57.16,47.07,18.89,<0.5,<0.5,78,SATISFACTORY,,2,Amona
08-11-2018,11.44,16.17,74.56,64.15,16.4,<0.5,<0.5,114,MODERATE,,2,Amona
12-11-2018,11.56,16.52,106.01,48.74,15.46,<0.5,<0.5,104,MODERATE,,2,Amona
15-11-2018,11.46,17.08,99.92,49.16,16.05,<0.5,<0.5,100,MODERATE,,2,Amona
19-11-2018,13.54,16.98,53.93,31.53,15.46,<0.5,<0.5,54,SATISFACTORY,,2,Amona
22-11-2018,11.87,17.51,111.61,35.83,15.36,<0.5,<0.5,108,MODERATE,,2,Amona
26-11-2018,10.94,17.03,132.27,68.3,14.36,<0.5,<0.5,126,MODERATE,,2,Amona
29-11-2018,11.37,17.77,109.03,51.66,17.6,<0.5,<0.5,106,MODERATE,,2,Amona
04-12-2018,9.54,15.86,69.82,32.21,15.91,<0.5,0.09,70,SATISFACTORY,,2,Amona
07-12-2018,9.88,15.32,55.49,29.91,17.89,<0.5,0.1,55,SATISFACTORY,,2,Amona
11-12-2018,10.06,14.29,69.98,34.86,15.91,<0.5,0.07,70,SATISFACTORY,,2,Amona
14-12-2018,10.48,14.18,65.23,27.29,15.51,<0.5,0.1,65,SATISFACTORY,,2,Amona
18-12-2018,10.34,14.89,82.68,39.99,16.95,<0.5,0.09,83,SATISFACTORY,,2,Amona
21-12-2018,10.63,16.02,52.92,24.62,15.41,<0.5,0.08,53,SATISFACTORY,,2,Amona
25-12-2018,10.28,15.3,66.94,25.66,14.56,<0.5,0.09,67,SATISFACTORY,,2,Amona
28-12-2018,10.33,15.64,68.69,39.57,13.92,<0.5,0.08,69,SATISFACTORY,,2,Amona
01-01-2019,11.49,16.01,108.28,87.53,11.93,<0.5,<0.5,192,MODERATE,,2,Amona
04-01-2019,11.92,15.08,84.08,63.7,19.38,<0.5,<0.5,112,MODERATE,,2,Amona
08-01-2019,11.53,14.11,111.54,84.52,13.92,<0.5,<0.5,184,MODERATE,,2,Amona
11-01-2019,11.5,15.11,131.73,119.64,15.41,<0.5,<0.5,299,POOR,,2,Amona
15-01-2019,11.7,14.63,115.04,74.98,15.41,<0.5,<0.5,150,MODERATE,,2,Amona
18-01-2019,11.7,15.19,124.03,94.15,10.44,<0.5,<0.5,214,POOR,,2,Amona
22-01-2019,11.27,15.23,110.9,66.24,14.41,<0.5,<0.5,121,MODERATE,,2,Amona
25-01-2019,11,14.09,94.46,79.44,13.42,<0.5,0.08,165,MODERATE,,2,Amona
29-01-2019,11.18,14.06,111.51,99.1,14.41,<0.5,0.08,230,POOR,,2,Amona
01-02-2019,12.4,15.46,97.8,53.2,12.03,<0.5,<0.5,98,SATISFACTORY,,2,Amona
05-02-2019,11.94,15.63,85.32,45.28,20.38,<0.5,<0.5,85,SATISFACTORY,,2,Amona
08-02-2019,11.39,15.14,121.07,60.07,12.92,<0.5,<0.5,114,MODERATE,,2,Amona
12-02-2019,12.16,14.45,143.43,49.78,13.42,<0.5,<0.5,129,MODERATE,,2,Amona
15-02-2019,11.73,14.77,103.04,52.11,14.41,<0.5,<0.5,102,MODERATE,,2,Amona
19-02-2019,11.77,14.7,103.83,56.82,11.43,<0.5,<0.5,103,MODERATE,,2,Amona
22-02-2019,11.44,15.74,142.18,55.7,15.41,<0.5,<0.5,128,MODERATE,,2,Amona
26-02-2019,11.21,14.49,114.12,54.11,13.42,<0.5,<0.5,109,MODERATE,,2,Amona
01-03-2019,10.5,15.73,121.59,73.61,11.93,<0.5,0.08,145,MODERATE,,2,Amona
05-03-2019,10.7,15.35,146.82,55.36,20.88,<0.5,0.07,131,MODERATE,,2,Amona
08-03-2019,10.3,14.8,166,86.64,11.93,<0.5,0.07,189,MODERATE,,2,Amona
12-03-2019,10.8,14.26,103.47,65.44,11.33,<0.5,0.08,118,MODERATE,,2,Amona
15-03-2019,10.6,14.25,138.96,64.9,16.9,<0.5,0.08,126,MODERATE,,2,Amona
19-03-2019,10,15.43,116.63,70.02,10.93,<0.5,0.08,133,MODERATE,,2,Amona
22-03-2019,10.6,14.72,67.69,39.66,18.89,<0.5,0.08,68,SATISFACTORY,,2,Amona
26-03-2019,11.1,14.3,106.31,66.19,13.42,<0.5,0.07,121,MODERATE,,2,Amona
29-03-2019,10.3,14.32,80.23,48.36,12.92,<0.5,0.08,81,SATISFACTORY,,2,Amona
04-04-2018,7.7,13.3,50.9,16.3,0.6,<0.5,<0.01,51,SATISFACTORY,No unsual activity,3,Margao
06-04-2018,8.2,14.1,58.6,19,<0.5,<0.5,0.81,59,SATISFACTORY,No unsual activity,3,Margao
10-04-2018,8.5,13.6,67.1,21.3,<0.5,<0.5,0.77,67,SATISFACTORY,No unsual activity,3,Margao
12-04-2018,6.7,12.4,45.3,14.6,0.7,<0.5,<0.01,45,SATISFACTORY,No unsual activity,3,Margao
17-04-2018,6.5,13.9,43.7,13.7,<0.5,<0.5,0.87,44,SATISFACTORY,No unsual activity,3,Margao
19-04-2018,8.4,15,49.3,16.1,0.7,<0.5,<0.01,49,SATISFACTORY,No unsual activity,3,Margao
24-04-2018,9.3,13.1,68.6,21.4,<0.5,<0.5,0.29,69,SATISFACTORY,No unsual activity,3,Margao
26-04-2018,6.8,12.3,72.1,23.8,1,<0.5,<0.01,72,SATISFACTORY,No unsual activity,3,Margao
02-05-2018,7.2,13.9,62.8,19.7,0.6,<0.5,<0.01,63,SATISFACTORY,No unsual activity,3,Margao
04-05-2018,8.7,11.2,62.2,19.9,<0.5,<0.5,0.81,62,SATISFACTORY,No unsual activity; Heavy Rainfall observed,3,Margao
08-05-2018,9,14.2,50,16,0.6,<0.5,0.6,50,SATISFACTORY,No unsual activity,3,Margao
10-05-2018,8.2,14.9,34.3,10.9,<0.5,<0.5,<0.01,34,GOOD,No unsual activity,3,Margao
15-05-2018,8.6,10.2,48.2,15.3,<0.5,<0.5,0.63,48,GOOD,No unsual activity,3,Margao
17-05-2018,8.8,15.8,67.2,21.7,<0.5,<0.5,<0.01,67,SATISFACTORY,No unsual activity,3,Margao
22-05-2018,8.5,13.5,63.1,20.1,0.7,<0.5,0.84,63,SATISFACTORY,No unsual activity,3,Margao
24-05-2018,7.6,12.4,80.8,25.3,<0.5,<0.5,0.8,81,SATISFACTORY,No unsual activity,3,Margao
29-05-2018,9,12.9,40.4,12.9,0.6,<0.5,<0.01,40,GOOD,No unsual activity,3,Margao
05-06-2018,5.9,9.7,43.5,14.8,0.7,<0.5,0.55,44,GOOD,No unsual activity,3,Margao
07-06-2018,4.7,11.5,39,12.7,0.5,<0.5,0.01,39,GOOD,No unsual activity,3,Margao
12-06-2018,6.5,8.5,41.8,13.2,0.7,<0.5,0.48,42,GOOD,No unsual activity,3,Margao
14-06-2018,5.8,10.6,30.2,10,0.5,<0.5,0.01,30,GOOD,No unsual activity,3,Margao
19-06-2018,6.3,11,41.8,13.6,0.8,<0.5,0.5,42,GOOD,No unsual activity,3,Margao
21-06-2018,5.9,11.3,32.6,11,0.5,<0.5,0.01,33,GOOD,No unsual activity,3,Margao
26-06-2018,6.7,9.3,38.4,12.1,0.7,<0.5,0.41,38,GOOD,No unsual activity,3,Margao
28-06-2018,6,10.4,25.9,9.2,0.5,<0.5,0.45,26,GOOD,No unsual activity,3,Margao
03-07-2018,6.3,10.7,31.9,9.7,0.7,<0.5,0.6,32,GOOD,No unsual activity,3,Margao
05-07-2018,6.6,9.1,23.2,7.5,0.5,<0.5,0.01,23,GOOD,No unsual activity,3,Margao
10-07-2018,5.9,10.5,24.9,7.9,0.1,<0.5,0.01,25,GOOD,No unsual activity,3,Margao
12-07-2018,6.1,11.9,22.2,7.2,0.5,<0.5,0.01,22,GOOD,No unsual activity,3,Margao
17-07-2018,7.2,10.9,31.8,9.8,0.1,<0.5,0.6,32,GOOD,No unsual activity,3,Margao
19-07-2018,7.1,10.8,33.6,10.6,0.6,<0.5,0.55,34,GOOD,No unsual activity,3,Margao
24-07-2018,7.6,11.3,28.9,9.1,0.6,<0.5,0.01,29,GOOD,No unsual activity,3,Margao
26-07-2018,6.5,11.1,31.2,10.4,0.7,<0.5,0.6,31,GOOD,No unsual activity,3,Margao
02-08-2018,5.9,8.9,39.9,12.6,0.61,<0.5,<0.01,40,GOOD,LMV movement observed; ,3,Margao
07-08-2018,8.1,10.7,41.5,13.2,0.7,<0.5,0.61,42,GOOD,LMV movement observed; ,3,Margao
09-08-2018,6.8,10.8,40.2,12.8,0.22,<0.5,0.6,40,GOOD,LMV movement observed; ,3,Margao
13-08-2018,5.1,9.2,31,9.9,0.2,<0.5,<0.01,31,GOOD,LMV movement observed; ,3,Margao
16-08-2018,7.2,10,34.7,11.1,0.45,<0.5,0.63,35,GOOD,LMV movement observed; ,3,Margao
21-08-2018,7.7,10.4,39.4,12.3,0.64,<0.5,<0.01,39,GOOD,LMV movement observed; ,3,Margao
23-08-2018,6.4,9.9,37.2,11.7,0.66,<0.5,0.45,37,GOOD,LMV movement observed; ,3,Margao
28-08-2018,6.5,9.2,34.3,11, - ,<0.5,<0.01,34,GOOD,LMV movement observed; ,3,Margao
30-08-2018,7.3,8.8,38.7,12.1,0.57,<0.5,0.6,39,GOOD,LMV movement observed; ,3,Margao
26-11-2018,12.28,14.63,81.28,36.46,19.83,,0.09,81,SATISFACTORY,,3,Margao
29-11-2018,12.35,15.83,78.37,33.68,15.91,,0.1,78,SATISFACTORY,,3,Margao
03-12-2018,11.1,15.47,63.41,42.91,16.9,,0.09,72,SATISFACTORY,,3,Margao
06-12-2018,9.89,15.14,55.94,36.78,15.41,,0.09,61,SATISFACTORY,,3,Margao
10-12-2018,10.6,13.68,60.58,33.24,16.4,,0.08,61,SATISFACTORY,,3,Margao
13-12-2018,10.66,14.95,89.44,42.16,16.9,,0.1,89,SATISFACTORY,,3,Margao
17-12-2018,10.97,15.08,75.14,38.32,15.41,,0.09,75,SATISFACTORY,,3,Margao
20-12-2018,11.27,15.72,66.1,36.62,15.76,,0.09,66,SATISFACTORY,,3,Margao
24-12-2018,11.39,14.86,66.09,32.32,14.91,,0.09,66,SATISFACTORY,,3,Margao
27-12-2018,9.75,15.83,64.57,35.49,15.91,,0.08,65,SATISFACTORY,,3,Margao
31-12-2018,10.92,15.17,66.95,39.16,17.89,,0.1,67,SATISFACTORY,,3,Margao
03-01-2019,11.47,15.05,73.13,35.7,15.41,,0.08,73,SATISFACTORY,,3,Margao
07-01-2019,11.12,3.56,121.55,65.9,16.4,,0.88,120,MODERATE,,3,Margao
10-01-2019,10.06,14.29,123.64,68.61,15.91,,0.07,129,MODERATE,,3,Margao
14-01-2019,11.85,15.2,90.38,69.07,15.41,,0.09,130,MODERATE,,3,Margao
17-01-2019,11.28,14.89,117.32,71.99,14.4,,0.09,140,MODERATE,,3,Margao
21-01-2019,11.4,15.29,72.13,35.58,16.4,,0.09,72,SATISFACTORY,,3,Margao
24-01-2019,11.93,13.05,115.81,73.23,15.41,,0.09,144,MODERATE,,3,Margao
28-01-2019,10.33,15.64,111.93,78.15,13.92,,0.08,161,MODERATE,,3,Margao
31-01-2019,11.3,15.23,90.76,66.32,14.4,,0.09,121,MODERATE,,3,Margao
04-02-2019,10.57,14.1,92.45,48.95,18.39,,0.078,92,SATISFACTORY,,3,Margao
07-02-2019,10.36,14.19,74.42,38.24,15.41,,0.078,74,SATISFACTORY,,3,Margao
11-02-2019,10.89,13.87,94.04,56.36,14.41,,0.078,94,SATISFACTORY,,3,Margao
14-02-2019,10.45,14.52,87.27,41.86,16.9,,0.087,87,SATISFACTORY,,3,Margao
18-02-2019,10.73,14.55,83.14,51.9,15.41,,0.08,87,SATISFACTORY,,3,Margao
21-02-2019,10.85,13.96,73.37,33.16,17.4,,0.086,73,SATISFACTORY,,3,Margao
25-02-2019,10.38,13.82,59.87,34.07,16.9,,0.09,60,SATISFACTORY,,3,Margao
28-02-2019,10.54,14.06,73.35,41.28,15.91,,0.08,73,SATISFACTORY,,3,Margao
05-03-2019,10.6,15.48,138.31,44.7,11.43,,0.08,126,Moderate,,3,Margao
07-03-2019,10.18,14.29,131.51,48.28,20.88,,0.08,121,Moderate,,3,Margao
11-03-2019,9.93,14.98,72.37,39.95,11.93,,0.08,72,Satisfactory,,3,Margao
14-03-2019,10.16,14.48,124.43,44.66,14.41,,0.07,116,Moderate,,3,Margao
20-03-2019,10.63,15.1,83.04,41.99,14.91,,0.08,83,Satisfactory,,3,Margao
23-03-2019,10.3,14.77,85.51,48.7,12.43,,0.08,86,Satisfactory,,3,Margao
27-03-2019,10.51,15.73,73.97,41.28,17.89,,0.08,74,Satisfactory,,3,Margao
30-03-2019,10.21,15.36,91.98,51.66,13.92,,0.08,92,Satisfactory,,3,Margao
02-04-2018,6.8,13.6,105.1,32.9,1.1,<0.5,<0.01,103,MODERATELY POLLUTED,No unsual activity,4,Ponda
06-04-2018,9.5,11,96,29.8,<0.5,<0.5,<0.01,96,SATISFACTORY,No unsual activity,4,Ponda
10-04-2018,8.4,13.4,177,54.6,0.9,<0.5,0.98,151,MODERATELY POLLUTED,No unsual activity,4,Ponda
12-04-2018,9.8,12.1,183.6,58.8,<0.5,<0.5,0.91,156,MODERATELY POLLUTED,No unsual activity,4,Ponda
17-04-2018,8.2,15.2,158.1,50.1,1.1,<0.5,0.88,139,MODERATELY POLLUTED,LMV movement,4,Ponda
19-04-2018,8.9,11.6,143.9,43.7,<0.5,<0.5,0.89,129,MODERATELY POLLUTED,LMV movement,4,Ponda
24-04-2018,8,13,141.3,45,1.3,<0.5,0.78,128,MODERATELY POLLUTED,No unsual activity,4,Ponda
26-04-2018,7.2,13.5,159.7,51,<0.5,<0.5,<0.01,140,MODERATELY POLLUTED,No unsual activity,4,Ponda
